Company_ID,Company_Name,Establishment_Year,Number_of_employees
Comp_0,LTIMindtree,1996,1000
Comp_1,Angel One,1987,1000
Comp_2,GlobalLogic,2000,1000
Comp_3,Zenda,2021,50
Comp_4,Swimlane,2014,500
Comp_5,Delta Air Lines,1928,1000
Comp_6,BlackLight Studio Works,2011,50
Comp_7,HDFC Life,2000,1000
Comp_8,Aerchain,2016,50
Comp_9,Univariety,2011,200
Comp_10,Paytm,2000,1000
Comp_11,WeRize,2019,200
Comp_12,DeNovo Systems,2014,50
Comp_13,Art Attack Animation,2018,10
Comp_14,Rubrik,2015,1000
Comp_15,Cargill,1900,1000
Comp_16,AXISCADES,1998,1000
Comp_17,Nirvana Insurance,2021,50
Comp_18,GoKwik,2020,200
Comp_19,Nab,1981,1000
Comp_20,Google,1998,1000
Comp_21,Tranzact,2017,50
Comp_22,SLK,2000,1000
Comp_23,Level AI,2018,50
Comp_24,VapprTech,2021,50
Comp_25,Head Digital Works,2005,500
Comp_26,Dunzo,2014,500
Comp_27,Saltside Technologies,2011,1000
Comp_28,Crayon Data,2012,200
Comp_29,PrivateCircle,2015,50
Comp_30,Jalan Technologies,2016,50
Comp_31,Whatfix,2013,500
Comp_32,Zepto,2021,1000
Comp_33,Viacom18,2007,1000
Comp_34,CashFlo,2017,50
Comp_35,NeoSOFT Technologies,1996,1000
Comp_36,OrangeMantra,2001,200
Comp_37,BYJU'S,2011,1000
Comp_38,BillDesk,2000,1000
Comp_39,Quince,2018,200
Comp_40,ARi,2006,1000
Comp_41,Reliance Jio,2016,1000
Comp_42,Chargeup,2019,50
Comp_43,Aavenir,2019,50
Comp_44,Jupiter,2019,200
Comp_45,Predators Network,2017,10
Comp_46,Motilal Oswal Financial Services,1987,1000
Comp_47,Twenty Point Nine Five Ventures,2022,50
Comp_48,Paperflite,2016,200
Comp_49,Mashreq Bank,1967,1000
Comp_50,Baygrape Technology Solutions,2016,50
Comp_51,RingCentral,2003,1000
Comp_52,ShopSe,2019,200
Comp_53,ADOS Interiors,2014,50
Comp_54,Spendflo,2020,50
Comp_55,MOBtexting,2012,200
Comp_56,Nightfall,2019,50
Comp_57,Deloitte,1845,1000
Comp_58,ImSafeNow,2017,10
Comp_59,Advanced Business and Healthcare India,2010,1000
Comp_60,Asentech,2007,200
Comp_61,Ivy Homes,2021,10
Comp_62,InBetween,1992,50
Comp_63,Yangpoo Executive Education,2016,200
Comp_64,Certa,2013,200
Comp_65,7-Eleven,1927,1000
Comp_66,Apollo.io,2015,200
Comp_67,CubeHQ,2022,10
Comp_68,Allen Career Institute,1988,1000
Comp_69,Flatworld Solutions,2002,1000
Comp_70,One Muthoot,2016,1000
Comp_71,Owens & Minor,1882,1000
Comp_72,OnGrid,2016,500
Comp_73,Carelon,2022,1000
Comp_74,Neuralgo,2023,10
Comp_75,OYO Rooms,2013,1000
Comp_76,Mahindra Insurance Brokers,2004,1000
Comp_77,Lenskart.com,2008,1000
Comp_78,Invansys Technologies,2005,50
Comp_79,Apexon,1996,1000
Comp_80,Barco,1934,1000
Comp_81,DevRev,2020,50
Comp_82,Applied Materials,1967,1000
Comp_83,Hi-Tech Robotic Systemz,2014,1000
Comp_84,Stable Money,2022,50
Comp_85,Verizon Communications,1983,1000
Comp_86,Hewlett Packard Enterprise (HPE),2015,1000
Comp_87,TechStar Group,2002,500
Comp_88,Mensa Brands,2017,50
Comp_89,3 Minds Digital,2016,50
Comp_90,Infosys,1981,1000
Comp_91,Y Media Labs,2009,500
Comp_92,3M,1902,1000
Comp_93,Niro,2021,50
Comp_94,Richpanel,2018,50
Comp_95,Intellect Design Arena,2014,1000
Comp_96,My Value Trip,2014,500
Comp_97,Quotient Technology,1998,1000
Comp_98,Suraasa,2017,200
Comp_99,Bidgely,2010,500
Comp_100,GyanDhan,2015,50
Comp_101,Scaler Academy,2019,200
Comp_102,Gameberry Labs,2017,200
Comp_103,Truminds Software Systems,2017,500
Comp_104,DAZN,2007,1000
Comp_105,Treebo,2015,500
Comp_106,The Famous,2021,10
Comp_107,Hectar India Trading,2021,50
Comp_108,BetterPlace,2015,1000
Comp_109,Neeman's,2018,50
Comp_110,Thence,2012,200
Comp_111,AHAsolar,2017,50
Comp_112,upGrad,2015,200
Comp_113,Squared Circle E-Com,2019,500
Comp_114,Loop Kitchen,2022,10
Comp_115,Capri Global Capital,1997,1000
Comp_116,Altimetrik,2012,1000
Comp_117,Donyati,2015,200
Comp_118,Volvo Martial Motors,2012,500
Comp_119,Leena AI,2015,500
Comp_120,Nucleus Software,1986,1000
Comp_121,Colmore,2017,200
Comp_122,Refyne,2020,50
Comp_123,Citrix,1989,1000
Comp_124,O4S,2016,200
Comp_125,MediBuddy,2013,1000
Comp_126,TrekNomads,2016,10
Comp_127,VMware,1998,1000
Comp_128,Carelon Global Solutions,2017,1000
Comp_129,Arintra,2020,50
Comp_130,ElectricPe,2021,50
Comp_131,Meeraq,2022,50
Comp_132,Mystifly,2009,500
Comp_133,sentra.world,2023,10
Comp_134,Hub,2021,200
Comp_135,KSBM Infotech,2013,200
Comp_136,GetVantage,2019,50
Comp_137,Brandtorch,2019,50
Comp_138,Integral Technologies,2022,10
Comp_139,Zoomcar,2012,500
Comp_140,PACE Group Of Companies,1995,1000
Comp_141,Hy-Vee,1930,1000
Comp_142,Jodo,2020,50
Comp_143,LeadSquared,2012,500
Comp_144,interface.ai,2019,200
Comp_145,Hugosave,2019,50
Comp_146,Delta,2017,10
Comp_147,Eight Network,2021,10
Comp_148,Emporiom Digital,2014,50
Comp_149,Playtoome,2016,50
Comp_150,Gumlet,2019,50
Comp_151,Clear,2011,1000
Comp_152,UnionSys Technologies,2008,200
Comp_153,Lumen Technologies,1968,1000
Comp_154,Quantum,1995,1000
Comp_155,Infosys BPM,2002,1000
Comp_156,Sundial,2020,50
Comp_157,Bizongo,2014,500
Comp_158,Brilliance,2019,50
Comp_159,CloudBloom,2017,200
Comp_160,Freeskout,2020,500
Comp_161,OneCode.in,2019,200
Comp_162,IDP Education,1969,1000
Comp_163,Evolving Systems,1985,500
Comp_164,Nov,1841,1000
Comp_165,EagleView,2008,10
Comp_166,SDLC Corp,2015,200
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
