Job_ID,Company_ID,Location,Designation,Details ID
Job_1,Comp_0,"Bangalore, Hyderabad, Mumbai",AEM Developer  ,Det_1
Job_2,Comp_1,Work From Home,Staff - Backend Developer ,Det_2
Job_3,Comp_0,"Bangalore, Hyderabad, Mumbai",Informatica IICS Developer  ,Det_3
Job_4,Comp_2,Bangalore,Salesforce Architect ,Det_4
Job_5,Comp_3,"Delhi, Lucknow",Territory Sales Manager  ,Det_5
Job_6,Comp_4,Hyderabad,Data Scientist ,Det_6
Job_7,Comp_5,Bangalore,Senior Cloud Engineer ,Det_7
Job_8,Comp_6,Noida,Senior Node.js Developer ,Det_8
Job_9,Comp_7,Bangalore,Business Analyst  ,Det_9
Job_10,Comp_8,Bangalore,Software Engineer ,Det_10
Job_11,Comp_9,Hyderabad,Key Account Manager / Senior Key Account Manager  ,Det_11
Job_12,Comp_10,Work From Home,PPM / Director - Product Management ,Det_12
Job_13,Comp_11,Bangalore,Data Analyst ,Det_13
Job_14,Comp_12,Chennai,Java Developer ,Det_14
Job_15,Comp_13,Delhi,Business Development Manager ,Det_15
Job_16,Comp_14,Work From Home,"Technical Product Manager, ",Det_16
Job_17,Comp_15,"Chennai, Coimbatore, Mysuru",Sales Executive - General Trade  ,Det_17
Job_18,Comp_16,Chennai,Process Simulation Engineer ,Det_18
Job_19,Comp_17,Bangalore,Data Scientist ,Det_19
Job_20,Comp_18,Work From Home,Finance Manager  ,Det_20
Job_21,Comp_19,Delhi,Senior Consultant I - Engineer ,Det_21
Job_22,Comp_20,"Bangalore, Hyderabad",Senior Software Engineer - Networking  ,Det_22
Job_23,Comp_21,Mumbai,Business Development Executives  ,Det_23
Job_24,Comp_22,Bangalore,ENOVIA Developer ,Det_24
Job_25,Comp_23,Work From Home,Site Reliability Engineer ,Det_25
Job_26,Comp_24,Gurgaon,React.js Developer ,Det_26
Job_27,Comp_25,Hyderabad,Software Development Engineer  ,Det_27
Job_28,Comp_26,"Bangalore, Delhi, Mumbai",Enterprise - Sales Manager  ,Det_28
Job_29,Comp_27,Sri Lanka,Project Manager - Payment Services ,Det_29
Job_30,Comp_28,Chennai,Engineering Manager  ,Det_30
Job_31,Comp_29,Bangalore,SDE - 1 Frontend ,Det_31
Job_32,Comp_30,Work From Home,TA Specialist  ,Det_32
Job_33,Comp_31,"Bangalore, Gurgaon",Enterprise Sales Outbound  ,Det_33
Job_34,Comp_32,Bangalore,SSE / FE ,Det_34
Job_35,Comp_33,Bangalore,iOS Architect ,Det_35
Job_36,Comp_34,Bangalore,Senior Product Manager ,Det_36
Job_37,Comp_35,Chennai,Senior Java Developer ,Det_37
Job_38,Comp_32,Bangalore,Senior Software Engineer - Frontend ,Det_38
Job_39,Comp_36,Bangalore,React.js / Angular JS Developer ,Det_39
Job_40,Comp_37,"Bangalore, Work From Home",Senior Software Engineer ,Det_40
Job_41,Comp_38,Mumbai,Engineering Manager ,Det_41
Job_42,Comp_39,Hyderabad,Principal Product Manager ,Det_42
Job_43,Comp_40,Chennai,UI Developer ,Det_43
Job_44,Comp_34,Mumbai,Senior Product Manager ,Det_44
Job_45,Comp_41,Bangalore,Quality Assurance Engineer ,Det_45
Job_46,Comp_42,Delhi,Chief of Staff ,Det_46
Job_47,Comp_43,Ahmedabad,QA Engineer ,Det_47
Job_48,Comp_44,Bangalore,Business Development ,Det_48
Job_49,Comp_45,Delhi,Social Media Executive ,Det_49
Job_50,Comp_18,Work From Home,Senior Sales Manager  ,Det_50
