Role,Standard Roles
Senior Product Manager,Management
Territory Sales Manager,Management
Full Stack Developer,Full Stack Developer
.NET Developer,Backend Developer
Senior Software Engineer,Software Engineer
Data Scientist,Data Scientist
Data Engineer,Data Engineer
Sales Executive - General Trade,Marketing
React.js Developer,Frontend Developer
Business Development Executive,Marketing
Senior Data Scientist,Data Scientist
Data Analyst,Data Analyst
Business Development Associate,Marketing
QA Engineer,Testing
Engineering Manager,Management
Product Manager,Management
Site Reliability Engineer,Testing
Senior Backend Engineer,Backend Developer
Sales Specialist,Marketing
Backend Engineer,Backend Developer
SEO Specialist,Consultancy
DevOps Cloud Engineer,Cloud Engineer
Software Development Engineer,Software Engineer
Dot .NET Developer,Backend Developer
SDE 3,Software Engineer
Frontend Developer,Frontend Developer
Senior Java Developer,Full Stack Developer
Full Stack Developer - Java,Full Stack Developer 
ServiceNow Developer,Software Engineer
UI Developer,Frontend Developer
Software Developer,Software Engineer
Python Developer,Software Engineer
Software Engineer,Software Engineer
Quality Assurance Engineer,Testing
Principal Software Engineer,Software Engineer
Senior Digital Marketing Manager / Head of Marketing,Management
ASW Cloud Security Manager,Management
Snowflake Developer,Data Engineer
C / C++ Development,Software Engineer
Salesforce Developer,Marketing
Career Counsellor,Marketing
Senior Site Reliability Engineer [T500 - 6976,Testing
Category Manager,Management
SSE,Others
Chief of Staff,Management
Sales / Senior Sales Associate,Marketing
Content Writer,Writers
Senior / Member of Technical Staff,Management
Creative Graphic Designer,Designer
Branch Manager,Management
Customer Delight,Customers Support
Senior Software Engineer - Networking,Software Engineer
Customer Integration Engineer,Customers Support
Software Engineer - Frontend,Frontend Developer
Customer Success Manager,Management
Project Lead / Test Engineer,Testing
Customer Support Executive - KYC Specialist,Customers Support
Regional Sales Manager,Management
Cybersecurity Engineer - PKI [T500 - 6924,CyberSecurity
Sales Executive / Senior Sales Executive,Marketing
Cybersecurity Engineer [Tt500 - 6862,CyberSecurity
"Backend, Node.js Python Developer",Backend Developer
.NET Full Stack Lead / Architect,Full Stack Developer
Senior Content Marketer - B2C,Marketing
Accounts Executive,Marketing
Senior Financial Business Analyst [T500 - 6956,Data Analyst
Admission Counsellor,Marketing
Senior Product Manager - Credit &amp; Lending,Management
Data Scientists,Data Scientist
Senior Software Engineer - Big Data,Data Engineer
Deputy Manager - Performance Marketing,Management
SEO Consultant,Consultancy
Automation Testing,Testing
